date,total,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unknown
2022-07-08,1490,0,0,0,3,45,182,307,315,296,142,94,72,23,7,0,2,1,1
2022-07-09,1554,0,0,0,3,48,191,324,334,301,147,97,75,23,8,0,2,0,1
2022-07-10,1554,0,0,0,3,48,191,324,334,301,147,97,75,23,8,0,2,0,1
2022-07-11,1556,0,0,0,3,48,191,325,334,301,148,97,75,23,8,0,2,0,1
2022-07-12,1636,0,0,0,3,48,203,340,354,313,154,104,79,27,8,0,2,0,1
2022-07-13,1694,0,0,0,3,50,209,350,369,328,158,106,81,28,9,0,2,0,1
2022-07-14,1790,0,0,0,3,55,219,371,386,350,167,113,83,30,10,0,2,0,1
2022-07-15,1861,0,0,0,3,56,227,386,405,363,173,117,86,32,10,0,2,0,1
2022-07-16,1924,0,0,0,3,61,230,408,419,373,177,121,86,33,10,0,2,0,1
2022-07-17,1924,0,0,0,3,61,230,408,419,373,177,121,86,33,10,0,2,0,1
2022-07-18,1924,0,0,0,3,61,230,408,419,373,177,121,86,33,10,0,2,0,1
2022-07-21,2191,0,0,0,4,76,257,462,464,420,211,144,97,40,12,0,2,1,1
2022-07-22,2268,0,0,0,5,77,263,479,483,427,219,150,103,44,14,0,2,1,1
2022-07-23,2352,0,0,0,6,80,265,492,496,448,231,155,114,45,15,0,3,1,1
2022-07-24,2352,0,0,0,6,80,265,492,496,448,231,155,114,45,15,0,3,1,1
2022-07-25,2352,0,0,0,6,80,265,492,496,448,231,155,114,45,15,0,3,1,1
2022-07-27,2459,0,0,0,8,87,279,510,515,465,242,166,117,46,18,1,3,1,1
2022-07-28,2540,0,0,0,9,89,288,525,524,479,252,175,121,52,18,3,3,1,1
2022-07-29,2595,0,0,0,9,91,297,544,534,487,257,178,122,51,17,3,3,1,1
